date,active_address,volume,daily_tx_count
2024-10-08,544773,66712705223.98902,714512
2024-10-09,428927,50248435085.07762,531095
2024-10-10,450977,38885882825.21066,732241
2024-10-11,444963,39342782196.90486,614144
2024-10-12,349744,24344387015.213352,737092
2024-10-13,369783,22734737587.848675,646777
2024-10-14,476759,39236844541.86468,614435
2024-10-15,550256,55241572977.73112,615477
2024-10-16,384157,47353645272.59819,711561
2024-10-17,525373,39871925278.25868,656795
2024-10-18,469739,44768713632.683044,477305
2024-10-19,464659,25966076640.14887,723437
2024-10-20,490754,25411730751.097435,711495
2024-10-21,470980,44982601262.78947,811182
2024-10-22,372195,45274350755.254105,720299
2024-10-23,479048,35382663249.857376,645465
2024-10-24,426290,39320585593.62448,633916
2024-10-25,573256,39243849688.91191,486355
2024-10-26,489039,23842355092.688583,538448
2024-10-27,434246,21131516166.90276,614796
2024-10-28,535419,44111197728.60476,641047
2024-10-29,561714,69416996873.72644,582280
2024-10-30,529708,66061010500.2035,644964
2024-10-31,524275,60235788361.7404,522325
2024-11-01,553842,54283215816.547226,517643
2024-11-02,449809,22239203550.884075,496236
2024-11-03,407844,23837387209.80837,404351
2024-11-04,560096,44546495271.59075,405780
2024-11-05,528491,50584812581.52075,423605
2024-11-06,593612,94045911971.10686,454520
2024-11-07,522998,68007739198.807495,502383
2024-11-08,556118,72631457035.50603,457172
2024-11-09,426848,42102208027.99035,548958
2024-11-10,505390,63972732080.11185,494090
2024-11-11,630578,100171980475.49739,439727
2024-11-12,617345,121927565517.089,475961
2024-11-13,501618,108920021522.55292,576787
2024-11-14,492231,94979498571.29347,517058
2024-11-15,593277,82802331373.61617,535856
2024-11-16,525216,47817095387.77862,494639
2024-11-17,450086,40220585367.781784,491223
2024-11-18,492623,80892486555.14449,639067
2024-11-19,491306,86801726754.62119,793460
2024-11-20,467229,94357017218.54967,672953
2024-11-21,634531,139632339473.41327,488232
2024-11-22,540586,106074871671.48936,513174
2024-11-23,583192,70750959893.35199,428900
2024-11-24,511497,55182198615.471275,434087
2024-11-25,655907,97926370713.5125,527007
2024-11-26,499862,90053111440.40381,435935
2024-11-27,498810,72902711318.99698,416533
2024-11-28,468628,56750246047.18619,496085
2024-11-29,481224,68198630007.415665,341927
2024-11-30,544714,45640636840.82109,552915
2024-12-01,421578,40153352017.44912,651863
2024-12-02,610018,88796745922.62556,311370
2024-12-03,604578,80772107896.10504,433563
2024-12-04,616367,82413138052.08249,479138
2024-12-05,607588,147418179844.39267,501096
2024-12-06,574779,104755547425.0579,414978
2024-12-07,488578,45518045694.763985,454280
2024-12-08,586471,44223739362.95793,413525
2024-12-09,651096,95142844327.5118,412807
2024-12-10,667677,81363904773.21536,435727
2024-12-11,524652,84897192641.72606,479380
2024-12-12,587652,73900720701.0164,454776
2024-12-13,620760,74244709461.64476,502243
2024-12-14,513064,43710768466.069466,518234
2024-12-15,492933,44642004096.30854,344599
2024-12-16,622186,99446656621.35945,413739
2024-12-17,557455,96076797881.132,408913
2024-12-18,579701,89758585127.7802,391047
2024-12-19,554315,94369891097.71661,433222
2024-12-20,593396,93558931855.96887,385049
2024-12-21,473397,44115849405.97566,310101
2024-12-22,516596,35403150697.44558,317901
2024-12-23,533801,89920933007.79967,281879
2024-12-24,526702,63007244759.12728,320789
2024-12-25,488892,44880080683.97022,353295
2024-12-26,519250,58346640415.56573,280148
2024-12-27,608382,62080756503.44412,304136
2024-12-28,488517,36284762242.04129,267150
2024-12-29,466998,55292953372.75463,393136
2024-12-30,566122,81390750192.80208,335825
2024-12-31,508973,77579515140.31873,295146
2025-01-01,441049,50681467763.80317,254441
2025-01-02,562360,61097342762.82134,339565
2025-01-03,492038,65595779940.34015,345992
2025-01-04,446203,46548890881.72492,352016
2025-01-05,443820,44144349015.92663,334041
2025-01-06,497017,73830742839.32146,327332
2025-01-07,521521,80814518563.2827,314359
2025-01-08,492548,74941433631.44986,369273
