date,btc_price,btc_return_daily,portfolio_value,portfolio_daily_return,portfolio_overall_return,return_7d_avg,return_30d_avg,sharpe_weekly,sharpe_monthly
2024-07-01,62899.99,-1.215453293394795,99.3922733533026,-0.607726646697401,-0.607726646697401,,,,
2024-07-02,62135.47,-3.101111168870211,97.85114090832596,-1.5505555844351069,-2.1488590916740407,,,,
2024-07-03,60208.58,-5.246046327616429,95.28448281624996,-2.62302316380822,-4.715517183750052,,,,
2024-07-04,57050.01,-0.7383346646214456,94.93272363293111,-0.3691673323107229,-5.067276367068871,,,,
2024-07-05,56628.79,2.82778424190239,96.27496993258151,1.4138921209511923,-3.725030067418487,,,,
2024-07-06,58230.13,-4.074042080963927,94.31382853833716,-2.037021040481959,-5.686171461662852,,,,
2024-07-07,55857.81,1.5339126256471654,95.03717440017752,0.766956312823582,-4.962825599822466,-0.7152350477083765,,-0.4869202163670856,
2024-07-08,56714.62,2.3545604290392803,96.15602825082934,1.1772802145196275,-3.843971749170663,,,,
2024-07-09,58050.0,-0.5583979328165399,95.88756161381376,-0.2791989664082744,-4.112438386186227,,,,
2024-07-10,57725.85,-0.6686086042907972,95.56700537011648,-0.3343043021453961,-4.432994629883524,,,,
2024-07-11,57339.89,0.9578148824491974,96.02468287018948,0.478907441224603,-3.975317129810521,,,,
2024-07-12,57889.1,2.2714466108472897,97.11525757250536,1.1357233054236326,-2.8847424274946434,,,,
2024-07-13,59204.02,2.6921989418961867,98.42252554089872,1.3460994709480965,-1.5774744591012675,,,,
2024-07-14,60797.91,6.457837119729931,101.60050873517665,3.2289185598649643,1.6005087351766465,0.9647751033467504,,0.7958557413131948,
2024-07-15,64724.14,0.4941741983748236,101.85155048497003,0.2470870991874123,1.851550484970048,,,,
2024-07-16,65043.99,-1.469774532589406,101.10305640993228,-0.7348872662947061,1.1030564099322788,,,,
2024-07-17,64087.99,-0.1561447004345115,101.02412287765156,-0.0780723502172585,1.024122877651564,,,,
2024-07-18,63987.92,4.175913203617186,103.13346272069472,2.087956601808601,3.133462720694723,,,,
2024-07-19,66660.0,0.7200120012001295,103.50474937511586,0.3600060006000735,3.504749375115864,,,,
2024-07-20,67139.96,1.5272276003738907,104.29512592519316,0.7636138001869471,4.295125925193162,,,,
2024-07-21,68165.34,-0.9291085469536304,103.81061846067963,-0.4645542734768172,3.810618460679649,0.3115928016848932,,0.334201510975644,
2024-07-22,67532.01,-2.363323703825786,102.58392798409496,-1.1816618519128914,2.583927984094956,,,,
2024-07-23,65936.01,-0.8493234576978419,102.14829330199656,-0.4246617288489131,2.148293301996574,,,,
2024-07-24,65376.0,0.6484795643661238,102.4794987057027,0.3242397821830743,2.479498705702696,,,,
2024-07-25,65799.95,3.203710641117521,104.12107200820192,1.6018553205587551,4.121072008201935,,,,
2024-07-26,67907.99,-0.0169199530129006,104.11226338997176,-0.0084599765064543,4.112263389971773,,,,
2024-07-27,67896.5,0.5204686544961885,104.38319923818744,0.2602343272481083,4.383199238187444,,,,
2024-07-28,68249.88,-2.146802309396005,103.26274877225404,-1.0734011546979985,3.262748772254028,-0.07169361171090281,,-0.07535059414061794,
2024-07-29,66784.69,-0.8934532749946168,102.80144656687644,-0.446726637497303,2.80144656687645,,,,
2024-07-30,66188.0,-2.3569227050220585,101.58997124926351,-1.1784613525110363,1.5899712492635272,,,,
2024-07-31,64628.0,1.1233830537847322,102.16059350994304,0.5616915268923616,2.160593509943027,,0.07621220181195396,,0.06226405355827517
2024-08-01,65354.02,-5.899698289408969,99.14701011606496,-2.949849144704484,-0.8529898839350523,,,,
2024-08-02,61498.33,-1.3014011925201934,98.50185993006563,-0.6507005962601025,-1.498140069934351,,,,
2024-08-03,60697.99,-4.179693594466634,96.44332196510192,-2.089846797233325,-3.556678034898084,,,,
2024-08-04,58161.0,-7.121937380719043,93.009005465982,-3.5609686903595312,-6.990994534017999,-1.47355167023906,,-1.005838081575766,
2024-08-05,54018.81,3.708337891930616,94.7335495622834,1.8541689459653088,-5.2664504377165855,,,,
2024-08-06,56022.01,-1.5848235363208112,93.98286976715582,-0.7924117681603966,-6.017130232844181,,,,
2024-08-07,55134.16,11.883431252058603,99.56706462590168,5.941715626029296,-0.4329353740983208,,,,
2024-08-08,61685.99,-1.3747043696631926,98.88268823182284,-0.6873521848315987,-1.1173117681771458,,,,
2024-08-09,60837.99,0.1405700615684444,98.95218795968684,0.0702850307842178,-1.047812040313147,,,,
2024-08-10,60923.51,-3.6290095564093487,97.15669578102026,-1.814504778204678,-2.843304218979739,,,,
2024-08-11,58712.59,1.0799216999284191,97.6813039013566,0.5399608499641955,-2.3186960986434144,0.7302659602209065,,0.2839038339789141,
2024-08-12,59346.64,2.090278404977944,98.70220950193206,1.0451392024889796,-1.2977904980679398,,,,
2024-08-13,60587.15,-3.1421844400999253,97.1515067674298,-1.5710922200499595,-2.848493232570206,,,,
2024-08-14,58683.39,-1.946598517911119,96.20593187199825,-0.973299258955553,-3.7940681280017534,,,,
2024-08-15,57541.06,2.31754507129344,97.32073978819396,1.1587725356467258,-2.6792602118060387,,,,
2024-08-16,58874.6,1.0486525598475394,97.83101800271967,0.5243262799237668,-2.168981997280312,,,,
2024-08-17,59491.99,-1.789551837146479,96.9556496127363,-0.8947759185732463,-3.044350387263705,,,,
2024-08-18,58427.35,1.7306107499313277,97.79461206016818,0.8653053749656631,-2.205387939831823,0.02205371363519664,,0.019503578491121543,
2024-08-19,59438.5,-0.7145200501358498,97.44523100460694,-0.3572600250679266,-2.554768995393061,,,,
2024-08-20,59013.8,3.630049242719492,99.21388593968145,1.815024621359743,-0.7861140603185675,,,,
2024-08-21,61156.03,-1.2757368324922371,98.58103189674176,-0.6378684162461117,-1.418968103258237,,,,
2024-08-22,60375.84,6.06434626830865,101.57017946128688,3.032173134154322,1.5701794612868696,,,,
2024-08-23,64037.24,0.1870317958737823,101.6651637266462,0.0935158979368863,1.665163726646199,,,,
2024-08-24,64157.01,0.0981810093706018,101.71507166860874,0.0490905046852974,1.7150716686087433,,,,
2024-08-25,64220.0,-2.1582061663033323,100.61746119420286,-1.0791030831516653,0.6174611942028605,0.4165103762386493,,0.2831357209001693,
2024-08-26,62834.0,-5.4413215774898935,97.88000138086151,-2.720660788744938,-2.119998619138471,,,,
2024-08-27,59415.0,-0.6397374400403913,97.56691387328884,-0.3198687200201872,-2.4330861267111743,,,,
2024-08-28,59034.9,0.5490142271774842,97.83474199238,0.2745071135887404,-2.1652580076199968,,,,
2024-08-29,59359.01,-0.3959297838693806,97.6410635511202,-0.1979648919346981,-2.3589364488798026,,,,
2024-08-30,59123.99,-0.2537041224721132,97.5172038493928,-0.1268520612360645,-2.4827961506072143,,,,
2024-08-31,58973.99,-2.8353686091105543,96.13471775617876,-1.4176843045552885,-3.8652822438212415,,-0.17993801712247132,,-0.09849762418214686
