datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-06-01 00:00:00,67540.01,67703.89,67507.39,67655.66,569.87074,38531227.415218,282.82932
2024-06-01 01:00:00,67655.66,67710.29,67428.44,67560.0,566.55975,38277220.9882521,227.59647
2024-06-01 02:00:00,67560.0,67740.0,67546.52,67729.05,327.71958,22174701.8871162,174.19432
2024-06-01 03:00:00,67729.05,67757.14,67623.24,67715.31,313.20132,21203326.5744696,140.13703
2024-06-01 04:00:00,67715.31,67763.81,67656.0,67680.01,315.96397,21395016.8255963,136.4164
2024-06-01 05:00:00,67680.01,67810.0,67603.0,67686.35,316.72396,21439336.4013219,135.68562
2024-06-01 06:00:00,67686.35,67729.87,67607.94,67693.32,266.23887,18016243.626667,133.14606
2024-06-01 07:00:00,67693.32,67733.01,67575.23,67632.08,351.80708,23800086.9673423,150.69643
2024-06-01 08:00:00,67632.07,67741.06,67611.61,67704.0,376.4478,25473893.8865938,173.79245
2024-06-01 09:00:00,67704.0,67760.0,67635.0,67706.69,349.38935,23653981.0266005,181.62293
2024-06-01 10:00:00,67706.69,67750.0,67627.32,67627.33,317.62668,21502290.9268939,155.16266
2024-06-01 11:00:00,67627.33,67694.0,67627.32,67660.57,249.68951,16895731.8015253,127.599
2024-06-01 12:00:00,67660.57,67872.5,67640.0,67717.76,408.2284,27653663.9518531,219.4672
2024-06-01 13:00:00,67717.76,67837.0,67714.28,67720.01,419.26976,28424665.0566316,225.3586
2024-06-01 14:00:00,67720.01,67870.0,67673.0,67803.34,379.0052,25691101.169774,222.87299
2024-06-01 15:00:00,67803.33,67824.0,67668.01,67691.28,321.49058,21790861.7230661,142.83489
2024-06-01 16:00:00,67691.28,67719.99,67612.0,67700.01,304.8731,20633236.2370448,155.15838
2024-06-01 17:00:00,67700.01,67900.0,67556.72,67791.02,1177.16281,79671396.2241389,545.18593
2024-06-01 18:00:00,67791.02,67821.73,67726.32,67750.71,277.11069,18777645.4640626,143.95874
2024-06-01 19:00:00,67750.7,67782.64,67685.72,67753.76,174.52798,11821931.5541076,75.43699
2024-06-01 20:00:00,67753.76,67796.54,67700.0,67796.54,337.18395,22839691.67705,137.25182
2024-06-01 21:00:00,67796.54,67820.2,67713.23,67760.01,290.36113,19678505.8596759,144.43112
2024-06-01 22:00:00,67760.01,67885.0,67710.0,67765.4,263.4495,17860656.4208373,115.81099
