date,macd_final,macd_signal_final,macd_diff_mean,macd_diff_std,macd_hist_final,macd_bullish_crosses,macd_bearish_crosses,macd_weekly_hist_final,macd_monthly_final,macd_monthly_hist_final,rsi_mean,rsi_std,rsi_final,rsi_overbought_pct,rsi_oversold_pct,rsi_9d,bb_width_mean,bb_width_std,bb_upper_touch_pct,bb_lower_touch_pct,vwap_std,vwap_above_pct,vwap_below_pct,vwap_mean_diff,vwap_abs_diff_mean,adx_final,adx_slope,taker_buy_ratio_mean
2024-06-01,,,,,,0.0,0.0,,,,55.603511899044676,5.742497299285289,55.8437531302686,0.0,0.0,,229.05203695519594,,0.0,0.0,31.381945007005736,87.5,12.5,46.52233949871879,53.36635261730286,20.38613069030405,,0.48179651951716723
2024-06-02,16.602895861520665,39.936923510971035,3.4437110754864753,29.268005843204485,-23.33402764945037,1.0,2.0,,,,51.89545486105416,9.461543238067918,45.186850508960006,4.166666666666666,0.0,,505.7381651916282,248.23591387624253,16.666666666666664,8.333333333333332,72.14072213634408,45.83333333333333,54.166666666666664,21.65038757766221,128.76678328316544,22.479809349559428,2.093678659255378,0.48783487773480866
2024-06-03,195.71427359794325,277.83523776906765,39.64971904301604,59.734398620701086,-82.1209641711244,1.0,1.0,,,,62.566744725536246,11.031474315413568,44.14591002438036,25.0,0.0,,1864.3251652933443,592.9372406875427,29.166666666666668,0.0,371.9474447561707,87.5,12.5,226.8534961021293,272.3112117481148,21.343119852924577,-1.136689496634851,0.5037125255157758
2024-06-04,447.37811493982736,376.48943376170763,16.44236599877328,97.10410259653558,70.88868117811973,1.0,0.0,,,,59.31144859898836,13.194058349347715,66.98647305904126,25.0,0.0,,1612.911831694523,758.8036363769567,25.0,0.0,374.79574810429386,70.83333333333334,29.166666666666668,343.7297989353465,400.76818816020267,30.57037952424037,9.227259671315792,0.4932661226941762
2024-06-05,229.36571441721753,289.50688978680535,-14.497090662483851,46.29872359343918,-60.14117536958781,0.0,1.0,,,,61.474732712318534,8.572607134823139,51.16103497900165,25.0,0.0,,2107.133618945456,1036.2409667580132,8.333333333333332,0.0,88.54272606611052,70.83333333333334,29.166666666666668,97.44063950054745,151.6888027581008,28.09358388565458,-2.476795638585788,0.48470933608080985
2024-06-06,-43.228604958902,5.659441922154999,-47.307907977441765,26.948956664204026,-48.888046881056994,1.0,1.0,,,,48.78899762474302,7.469958761580262,44.56416247154372,0.0,0.0,,777.7289978002336,92.79068830773274,0.0,4.166666666666666,46.002142183046416,33.33333333333333,66.66666666666666,-61.375536531543425,140.09045675150023,21.63971807732065,-6.45386580833393,0.4719156145271639
2024-06-07,-467.76003334771667,-279.4720806430594,-47.521920427535726,111.50704447029351,-188.28795270465724,1.0,1.0,,,,46.47542636868104,16.256878578525598,29.19155285656757,4.166666666666666,25.0,,1447.6869859392136,879.1632822493737,4.166666666666666,16.666666666666664,303.33589359178495,58.333333333333336,41.66666666666667,-272.1042768833631,461.64140497553007,38.72317358973911,17.08345551241846,0.4981635909827066
2024-06-08,-159.6220840419992,-200.27076810260536,13.20021875674243,65.5970356978725,40.64868406060617,1.0,0.0,,,,38.26238613675784,5.2020160129231785,35.64717976743154,0.0,0.0,,2271.1295472022343,1559.2010740925512,0.0,0.0,7.011887893055629,62.5,37.5,6.328243333005351,48.03272901329001,44.84176483424853,6.1185912445094175,0.4864946015901392
2024-06-09,60.032426287740236,32.95074145840853,38.87025159350234,11.260393684261553,27.081684829331707,0.0,0.0,,,,52.694397819290685,11.894310821139463,56.300087965400664,4.166666666666666,4.166666666666666,,433.35558768678794,154.99236951613275,16.666666666666664,8.333333333333332,96.25523406836682,91.66666666666666,8.333333333333332,112.60951817402263,119.0157618154905,36.57593729848717,-8.26582753576136,0.4767806366046448
2024-06-10,16.78168709782767,36.32965322057061,0.5631519603603395,28.69271222077077,-19.54796612274294,1.0,2.0,-19.54796612274294,,,50.24435433566537,10.63132259612284,45.83629768497914,8.333333333333332,0.0,45.4472516710665,650.2825008636197,122.87124902862058,12.5,0.0,62.72875832011852,37.5,62.5,16.660547559795305,134.8816384560117,20.272540562902808,-16.30339673558436,0.490378170114232
