date,open,high,low,close,volume,quote_volume,number_of_trades,taker_buy_volume
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,598305207.9932046,638484,4235.27045
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,1046827665.3829312,812348,7760.23377
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,2047757076.226836,1253789,15308.67275
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,2069902136.99324,1254515,14922.96734
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,2040073765.86764,1055115,14210.23392
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,1551467659.1542966,900226,10287.3911
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,2507250591.3329782,1516415,17318.78051
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,678267390.5310388,714103,4772.23036
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,687344656.0725566,575583,4883.69296
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,1192466549.969123,936731,8412.00246
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,2793799020.4691243,1782415,19839.8232
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,2550285139.184372,1670745,18975.89081
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,1958897960.917292,1518202,13886.14007
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,1884451554.428285,1736314,13619.40861
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,758175888.0283372,700886,5495.02083
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,624653672.6138575,703295,4750.05166
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,1812061226.756565,1542620,13716.89431
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,2755141806.03109,2151711,20076.41361
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,1307731953.9545317,1078458,10289.7818
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,1584896152.16637,1282687,11828.87934
2024-06-21,64869.99,65066.66,63379.35,64143.56,25993.56442,1665541539.708616,1362617,12543.2596
2024-06-22,64143.56,64546.81,63943.82,64262.01,7308.95542,470027247.3402083,562832,3756.29045
2024-06-23,64262.01,64521.0,63178.32,63210.01,8224.45447,526848525.0029452,592759,3974.67964
2024-06-24,63210.01,63369.8,58402.0,60293.3,52161.35414,3180853460.924751,2190787,24495.59428
2024-06-25,60293.3,62420.0,60257.06,61806.01,31189.24361,1914901308.84587,1277481,15360.08458
2024-06-26,61806.01,62487.81,60712.0,60864.99,22485.66463,1381716993.355492,1112152,11435.02653
2024-06-27,60864.98,62389.22,60606.63,61706.47,18344.28631,1126705164.782892,1062176,9298.265
2024-06-28,61706.46,62225.31,60063.0,60427.84,24821.19255,1519872032.026636,1479626,12661.53908
2024-06-29,60427.84,61224.0,60383.77,60986.68,11509.55904,701345872.4881144,767669,5461.68911
